"2018-03-27T16:02:17.989932","emg","5","59","39","-4","-25","5","-9","-3","2018-03-27T16:02:17.989195"
"2018-03-27T16:02:17.994578","emg","8","-1","-37","15","47","1","5","3","2018-03-27T16:02:17.993715"
"2018-03-27T16:02:17.994956","emg","0","-18","46","18","-3","0","0","3","2018-03-27T16:02:17.994173"
"2018-03-27T16:02:18.011168","acc","-1491","-1470","-2635","gyro","-748","-798","1116","quat","-2007","15157","4940","-3200","2018-03-27T16:02:18.010081"
"2018-03-27T16:02:18.012435","emg","27","61","54","1","-4","3","8","14","2018-03-27T16:02:18.011685"
"2018-03-27T16:02:18.012799","emg","-10","-74","-86","-24","-6","-4","-5","-4","2018-03-27T16:02:18.012053"
"2018-03-27T16:02:18.017681","emg","-20","-5","35","1","-9","-8","-10","-32","2018-03-27T16:02:18.016608"
"2018-03-27T16:02:18.018086","emg","26","21","-41","-14","-8","-2","1","28","2018-03-27T16:02:18.017177"
"2018-03-27T16:02:18.033549","acc","-1226","-1182","-2728","gyro","140","-1625","726","quat","-1918","15133","4849","-3497","2018-03-27T16:02:18.032507"
"2018-03-27T16:02:18.034930","emg","-39","30","46","14","3","-7","-8","-24","2018-03-27T16:02:18.034150"
"2018-03-27T16:02:18.035298","emg","70","-12","-106","-9","6","12","9","13","2018-03-27T16:02:18.034540"
"2018-03-27T16:02:18.040292","emg","19","4","98","7","-9","11","4","18","2018-03-27T16:02:18.039263"
"2018-03-27T16:02:18.040668","emg","-14","-28","-15","21","29","-6","7","-11","2018-03-27T16:02:18.039823"
"2018-03-27T16:02:18.048698","acc","-908","-719","-2491","gyro","842","-2088","156","quat","-1935","15041","4833","-3883","2018-03-27T16:02:18.047652"
"2018-03-27T16:02:18.049933","emg","-1","3","16","6","-10","1","-1","19","2018-03-27T16:02:18.049204"
"2018-03-27T16:02:18.050355","emg","5","3","24","-6","10","12","10","12","2018-03-27T16:02:18.049557"
"2018-03-27T16:02:18.054528","emg","-17","-34","-23","-10","-16","-8","-10","-5","2018-03-27T16:02:18.053680"
"2018-03-27T16:02:18.054860","emg","-28","34","-11","-11","1","-4","-11","-38","2018-03-27T16:02:18.054144"
"2018-03-27T16:02:18.070877","acc","-819","-381","-2409","gyro","873","-2221","-210","quat","-1958","14917","4875","-4277","2018-03-27T16:02:18.069855"
"2018-03-27T16:02:18.072000","emg","35","-13","4","18","1","-4","2","13","2018-03-27T16:02:18.071214"
"2018-03-27T16:02:18.072312","emg","1","12","35","-6","4","-5","-11","-18","2018-03-27T16:02:18.071565"
"2018-03-27T16:02:18.077538","emg","26","21","-45","-3","9","3","-3","4","2018-03-27T16:02:18.076494"
"2018-03-27T16:02:18.077860","emg","34","-28","-62","-38","-22","-6","4","34","2018-03-27T16:02:18.077037"
